Gerakladium133374_c0_g1_i1	Gerakladium133374
Gerakladium133325_c0_g1_i1	Gerakladium133325
Gerakladium133313_c0_g1_i1	Gerakladium133313
Gerakladium133376_c0_g1_i1	Gerakladium133376
Gerakladium133307_c0_g1_i1	Gerakladium133307
Gerakladium133360_c0_g1_i1	Gerakladium133360
Gerakladium133398_c0_g1_i1	Gerakladium133398
Gerakladium133335_c0_g1_i1	Gerakladium133335
Gerakladium133377_c0_g1_i1	Gerakladium133377
Gerakladium133380_c0_g1_i1	Gerakladium133380
Gerakladium133326_c0_g1_i1	Gerakladium133326
Gerakladium133351_c0_g1_i1	Gerakladium133351
Gerakladium133355_c0_g1_i1	Gerakladium133355
Gerakladium133339_c0_g1_i1	Gerakladium133339
Gerakladium133342_c0_g1_i1	Gerakladium133342
Gerakladium133387_c0_g1_i1	Gerakladium133387
Gerakladium133350_c0_g1_i1	Gerakladium133350
Gerakladium142122_c0_g1_i1	Gerakladium142122
Gerakladium142135_c0_g1_i1	Gerakladium142135
Gerakladium185474_c0_g1_i1	Gerakladium185474
Gerakladium185435_c0_g1_i1	Gerakladium185435
Gerakladium185488_c0_g1_i1	Gerakladium185488
Gerakladium185408_c0_g1_i1	Gerakladium185408
Gerakladium185451_c0_g1_i1	Gerakladium185451
Gerakladium185444_c0_g1_i1	Gerakladium185444
Gerakladium185445_c0_g1_i1	Gerakladium185445
Gerakladium185461_c0_g1_i1	Gerakladium185461
Gerakladium185448_c0_g1_i1	Gerakladium185448
Gerakladium185486_c0_g1_i1	Gerakladium185486
Gerakladium185469_c0_g1_i1	Gerakladium185469
Gerakladium185479_c0_g1_i1	Gerakladium185479
Gerakladium185422_c0_g1_i1	Gerakladium185422
Gerakladium185481_c0_g1_i1	Gerakladium185481
Gerakladium185438_c0_g1_i1	Gerakladium185438
Gerakladium185409_c0_g1_i1	Gerakladium185409
Gerakladium185420_c0_g1_i1	Gerakladium185420
Gerakladium185457_c0_g1_i1	Gerakladium185457
Gerakladium185452_c0_g1_i1	Gerakladium185452
Gerakladium185483_c0_g1_i1	Gerakladium185483
Gerakladium185437_c0_g1_i1	Gerakladium185437
Gerakladium185454_c0_g1_i1	Gerakladium185454
Gerakladium185404_c0_g1_i1	Gerakladium185404
Gerakladium185494_c0_g1_i1	Gerakladium185494
Gerakladium185412_c0_g1_i1	Gerakladium185412
Gerakladium185477_c0_g1_i1	Gerakladium185477
